EventId : 4, Level : Informational, Message : Method IHallService.CreateHall finished, Payload : [serviceName : IHallService] [methodName : CreateHall] , EventName : ServiceMethodFinishedInfo, Timestamp : 2016-11-17T15:46:26.7451235Z, ProcessId : 5056, ThreadId : 2232

EventId : 3, Level : Informational, Message : Invoking method IRoomService.SetCriteria, Payload : [serviceName : IRoomService] [methodName : SetCriteria] , EventName : ServiceMethodStartedInfo, Timestamp : 2016-11-17T15:46:27.9585816Z, ProcessId : 5056, ThreadId : 2232

EventId : 4, Level : Informational, Message : Method IRoomService.SetCriteria finished, Payload : [serviceName : IRoomService] [methodName : SetCriteria] , EventName : ServiceMethodFinishedInfo, Timestamp : 2016-11-17T15:46:28.0297112Z, ProcessId : 5056, ThreadId : 2232

EventId : 3, Level : Informational, Message : Invoking method IRoomService.SetCriteria, Payload : [serviceName : IRoomService] [methodName : SetCriteria] , EventName : ServiceMethodStartedInfo, Timestamp : 2016-11-17T15:46:29.1241737Z, ProcessId : 5056, ThreadId : 2232

EventId : 4, Level : Informational, Message : Method IRoomService.SetCriteria finished, Payload : [serviceName : IRoomService] [methodName : SetCriteria] , EventName : ServiceMethodFinishedInfo, Timestamp : 2016-11-17T15:46:29.1271751Z, ProcessId : 5056, ThreadId : 2232

EventId : 3, Level : Informational, Message : Invoking method IAccountService.Indentify, Payload : [serviceName : IAccountService] [methodName : Indentify] , EventName : ServiceMethodStartedInfo, Timestamp : 2016-11-17T15:46:29.9471036Z, ProcessId : 5056, ThreadId : 2232

EventId : 4, Level : Informational, Message : Method IAccountService.Indentify finished, Payload : [serviceName : IAccountService] [methodName : Indentify] , EventName : ServiceMethodFinishedInfo, Timestamp : 2016-11-17T15:46:29.9696200Z, ProcessId : 5056, ThreadId : 2232

EventId : 3, Level : Informational, Message : Invoking method IAccountService.Indentify, Payload : [serviceName : IAccountService] [methodName : Indentify] , EventName : ServiceMethodStartedInfo, Timestamp : 2016-11-17T15:46:30.7488228Z, ProcessId : 5056, ThreadId : 2232

